"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "Vue", "XML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\archivage-app\resources\js\Pages\Components\update-service-modal.vue", "Vue", 0, 0, 0, 0, 121, 0, 0, 0, 3, 124
"c:\laragon\www\archivage-app\resources\js\Pages\Dashboard.vue", "Vue", 0, 0, 0, 0, 292, 0, 0, 0, 3, 295
"c:\laragon\www\archivage-app\resources\js\Pages\Documents.vue", "Vue", 0, 0, 0, 0, 188, 0, 0, 0, 3, 191
"c:\laragon\www\archivage-app\resources\js\Pages\Profile.vue", "Vue", 0, 0, 0, 0, 375, 0, 0, 0, 3, 378
"c:\laragon\www\archivage-app\resources\js\Pages\Services.vue", "Vue", 0, 0, 0, 0, 248, 0, 0, 1, 3, 252
"c:\laragon\www\archivage-app\resources\js\Pages\ServicesMore.vue", "Vue", 0, 0, 0, 0, 206, 0, 0, 0, 5, 211
"c:\laragon\www\archivage-app\resources\js\app.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\laragon\www\archivage-app\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 23, 7, 33
"c:\laragon\www\archivage-app\resources\views\app.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\laragon\www\archivage-app\routes\api.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\archivage-app\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\laragon\www\archivage-app\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\archivage-app\routes\web.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 14, 10, 75
"c:\laragon\www\archivage-app\tests\CreatesApplication.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\laragon\www\archivage-app\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\laragon\www\archivage-app\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\laragon\www\archivage-app\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\laragon\www\archivage-app\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"c:\laragon\www\archivage-app\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\laragon\www\archivage-app\vite.config.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 9, 4, 32
"Total", "-", 2029, 6, 10006, 95, 4792, 9056, 45, 1419, 826, 28274
